title,price,rating,link,price_numeric,rating_numeric,volume,price_per_volume,price_log,price_scaled,cluster_k2,cluster_k3,cluster_k4,cluster_k5,final_cluster
"22# Fruity Body Spray,Hair and Body Mist,Hair Perfume for Women,Long Lasting Perfumes for Women,Body Fragrance Perfume,Fruity and Floral Body Mist for Women,Fruity Body Spray Body S-plash,90ml",SAR 67.99,1.5 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToyMTE5OTU2MTA3NDI0NjkwOjE3NDUzMzM1OTU6c3BfYXRmX25leHQ6MzAwNTMxNzk3NjcwNjMyOjowOjo&url=%2FCasanova-FRAGRANT-BODY-SPLASH-EXUBURANCE%2Fdp%2FB07XLTBDMT%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.tHWFSdJ-wPOALfwxJqQ9PvIiQLE2q5H8JbbckSMPUZI0tTpjDrR66INE5RZChmSTqOON2hGA7nAd5wIe5NRSiWB1FeOeTpI5b_ZxUX7ZFcpT50TI8z_kOsaDATaXAX1G3GYfo44yUUm2E_vpSs5A7AGQQwfqtDsJbYI7dvI_UUc6dSM3ViXl0-Tgb6aeeqKuQP3XBqixRKHdr6t7m8JhctbgDtFpdE_gqBbT0Kd4WmaKQ-W-vAS3YAh9w8KnHEM4xl__ONlzKVSmliY_MlFDTmGx7clFmIDtEt0hAA5E818.JZ64ASNd5V7nxONPOfyQzzQJdgIVasBDqZROgaHHO3A%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333595%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-241-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAEP93J8TTQ32V,67.99,1.5,90.0,0.7554444444444444,0.5627220695544926,0.9556889313592628,0,2,1,1,0
5815 Perfume For Unisex - 25 ml,SAR 17.89,3.6 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo1Njk5OTEwNzIxNjU0ODY5OjE3NDUzMzM1OTE6c3BfYXRmX25leHQ6MzAwNTE0MjE0NDAyMDMyOjowOjo&url=%2FColour-Me-Pop-Art-Milton-Lloyd%2Fdp%2FB09CNCVFZN%2Fref%3Dsr_1_97_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9._S9Vk-VRPT40SNS7JrKF-gldAoCC_1nsqFTahDwkmoCzUWMYN-DoQ5jjqTG6jbzs8xqRawiZBtNGGrZICfMb2UzEzGlqrrOV-gGi23XYcfE_kdvmiXvjDBCFZ5EV8ldKYgrgPNzAZ5zQmXAa4jQtcdjcsM5OOe0muaycAGqq52tptOP04hzJ62GuwuRrvXO9oam_XdOVHz5YTsM-MP6d5TO7fHX0utfuh8uUUyrbQOQxLmZA9aGeDojVpdTz2IATzJnRTOkPvP2eWJsghhmbuSl4GF7SbSinDhZ5oVYU5yw.GQmadBR7YYxQifoOK6eIo6bhMQIkbEX3WJUsu-D7RL4%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333590%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-97-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,17.89,3.6,25.0,0.7156,0.5397628736605884,0.8664442900620819,0,2,1,1,0
"90ML Hair And Body Fragrance Mist,Brazilian Perfume Crush Fragrance Spray, Brazilian Hair & Body Perfume Spray Mist,Long-Lasting Fragrance Spray Fresh Fruity for Women,Hair and Body Fragrance Mist #71",SAR 80.85,3.4 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDYzNzQzMDE1NzQ3MzA1OjE3NDUzMzM1OTI6c3BfYXRmX25leHQ6MzAwMzYyMjMyMzAyNjMyOjowOjo&url=%2FSwiss-Arabian-Jamila-Women-Perfume%2Fdp%2FB076CR2S5C%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.0NiDwGdUzXuEFncrILiS7iAq8Mn3iHbUAyiIg_G1ktY0klZB08WLTj_IrLIjAJpdXUZevy1gaymRhhskC3urj1co8i4IJwHz3WI_b9lHElW6LFL-wxz644VCnPnEcpnTJiNWqkI-d5-V8qnrtXSf81g7mYEpAlphIfZ43VYqfriTqrH1XiDzafgDhayKsEn5UNzmSJ-I2t2tSnZXqwW7HBvtyWLVDPAXiiFSJ5YtAjzGo4NdKBcEY_kOkIkNwc-gdzugs9y6zSu-qlbzJFGXmw2gNYH5CyKPC4NquLm9LtI.GSMEfsyEgJfWbxAf5reRZDbBMhLRbqZ8GR_DQXpReng%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333592%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-145-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,80.85,3.4,90.0,0.8983333333333333,0.6409763082310357,1.2598708152956388,0,2,1,1,0
Bath & Body Works and - Rose - Ultra Shea Cream and Fine Fragrance Mist -8 Oz 2018,SAR 178.70,4.6 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo1Njk5OTEwNzIxNjU0ODY5OjE3NDUzMzM1OTE6c3BfYXRmX25leHQ6MzAwNTE0MjE0NDAyMDMyOjowOjo&url=%2FColour-Me-Pop-Art-Milton-Lloyd%2Fdp%2FB09CNCVFZN%2Fref%3Dsr_1_97_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9._S9Vk-VRPT40SNS7JrKF-gldAoCC_1nsqFTahDwkmoCzUWMYN-DoQ5jjqTG6jbzs8xqRawiZBtNGGrZICfMb2UzEzGlqrrOV-gGi23XYcfE_kdvmiXvjDBCFZ5EV8ldKYgrgPNzAZ5zQmXAa4jQtcdjcsM5OOe0muaycAGqq52tptOP04hzJ62GuwuRrvXO9oam_XdOVHz5YTsM-MP6d5TO7fHX0utfuh8uUUyrbQOQxLmZA9aGeDojVpdTz2IATzJnRTOkPvP2eWJsghhmbuSl4GF7SbSinDhZ5oVYU5yw.GQmadBR7YYxQifoOK6eIo6bhMQIkbEX3WJUsu-D7RL4%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333590%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-97-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,178.7,4.6,236.588,0.755321487142205,0.562652023698582,0.9554166562624355,0,2,1,1,0
Body Mist for Women and Men. Long Lasting Uplifting Body Spray with Himalayan Rose and Cardamom (100ml),SAR 63.36,4.1 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo1NzcwNjAwNzE5MjczMjE6MTc0NTMzMzU4OTpzcF9hdGZfbmV4dDozMDA0ODAwOTI5MzQxMzI6OjA6Og&url=%2FArabiyat-Lamsat-Hareer-Perfume-Deodorant%2Fdp%2FB07NV23HTD%2Fref%3Dsr_1_49_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.tCpAyVbmI10Nwk0OJBMdBaiD7Ex6dgPsqOYjgBFMO81Sb7Yzz86RyGVl7NTzOvm8jQviSo35aG0ZvhTOndTdK0CyQ8Smag_8WkaIKWRRT9f8CV8V0Q2ljGFRltk2uSoS2ZUvVeC1AM3joh8QFtbJayk_KhN9qhn_fwSNvgwp1KIddsjxi2Q-7IIN1bVOPIvTfQ7ps9Qg2xEvMtfncAKygnmGJg3JVuHZsRvPWfLEJYuwhlPQspIzagJpk81o1MFuVxLn_nkTEoqvvZiXtZKQxsD9_MQ9UKAYoQFrhAnEHHU.4Mx4wcwHAq_Vm6SmVXxvAcP8VsoBpP2G5-ysmv0gCDc%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333589%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-49-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,63.36,4.1,100.0,0.6335999999999999,0.490786168428264,0.6760670438129193,0,2,1,1,0
"Cuide-Se Bem Cloud Body Splash, 200 Ml",SAR 321.00,4.1 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDYzNzQzMDE1NzQ3MzA1OjE3NDUzMzM1OTI6c3BfYXRmX25leHQ6MzAwMzYyMjMyMzAyNjMyOjowOjo&url=%2FSwiss-Arabian-Jamila-Women-Perfume%2Fdp%2FB076CR2S5C%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.0NiDwGdUzXuEFncrILiS7iAq8Mn3iHbUAyiIg_G1ktY0klZB08WLTj_IrLIjAJpdXUZevy1gaymRhhskC3urj1co8i4IJwHz3WI_b9lHElW6LFL-wxz644VCnPnEcpnTJiNWqkI-d5-V8qnrtXSf81g7mYEpAlphIfZ43VYqfriTqrH1XiDzafgDhayKsEn5UNzmSJ-I2t2tSnZXqwW7HBvtyWLVDPAXiiFSJ5YtAjzGo4NdKBcEY_kOkIkNwc-gdzugs9y6zSu-qlbzJFGXmw2gNYH5CyKPC4NquLm9LtI.GSMEfsyEgJfWbxAf5reRZDbBMhLRbqZ8GR_DQXpReng%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333592%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-145-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,321.0,4.1,200.0,1.605,0.9574326752053303,2.4899676831188033,1,1,1,4,0
ELEGANT BLUE BODY SPLASH 250ML,SAR 196.00,,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToyMTE5OTU2MTA3NDI0NjkwOjE3NDUzMzM1OTU6c3BfYXRmX25leHQ6MzAwNTMxNzk3NjcwNjMyOjowOjo&url=%2FCasanova-FRAGRANT-BODY-SPLASH-EXUBURANCE%2Fdp%2FB07XLTBDMT%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.tHWFSdJ-wPOALfwxJqQ9PvIiQLE2q5H8JbbckSMPUZI0tTpjDrR66INE5RZChmSTqOON2hGA7nAd5wIe5NRSiWB1FeOeTpI5b_ZxUX7ZFcpT50TI8z_kOsaDATaXAX1G3GYfo44yUUm2E_vpSs5A7AGQQwfqtDsJbYI7dvI_UUc6dSM3ViXl0-Tgb6aeeqKuQP3XBqixRKHdr6t7m8JhctbgDtFpdE_gqBbT0Kd4WmaKQ-W-vAS3YAh9w8KnHEM4xl__ONlzKVSmliY_MlFDTmGx7clFmIDtEt0hAA5E818.JZ64ASNd5V7nxONPOfyQzzQJdgIVasBDqZROgaHHO3A%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333595%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-241-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAEP93J8TTQ32V,196.0,,250.0,0.784,0.5788580341578177,1.0184110048875479,0,2,1,1,0
"Enchanted Spring body spray for women 200ml - freshness all day - fragrance - perfume for women - bodyspray, body mist, body splash",SAR 160.00,4.8 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToyMTE5OTU2MTA3NDI0NjkwOjE3NDUzMzM1OTU6c3BfYXRmX25leHQ6MzAwNTMxNzk3NjcwNjMyOjowOjo&url=%2FCasanova-FRAGRANT-BODY-SPLASH-EXUBURANCE%2Fdp%2FB07XLTBDMT%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.tHWFSdJ-wPOALfwxJqQ9PvIiQLE2q5H8JbbckSMPUZI0tTpjDrR66INE5RZChmSTqOON2hGA7nAd5wIe5NRSiWB1FeOeTpI5b_ZxUX7ZFcpT50TI8z_kOsaDATaXAX1G3GYfo44yUUm2E_vpSs5A7AGQQwfqtDsJbYI7dvI_UUc6dSM3ViXl0-Tgb6aeeqKuQP3XBqixRKHdr6t7m8JhctbgDtFpdE_gqBbT0Kd4WmaKQ-W-vAS3YAh9w8KnHEM4xl__ONlzKVSmliY_MlFDTmGx7clFmIDtEt0hAA5E818.JZ64ASNd5V7nxONPOfyQzzQJdgIVasBDqZROgaHHO3A%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333595%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-241-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAEP93J8TTQ32V,160.0,4.8,200.0,0.8,0.5877866649021191,1.053117466373933,0,2,1,1,0
Hair & Body Mist Pmgrte&Red Berries 150Ml,SAR 119.00,4.4 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDYzNzQzMDE1NzQ3MzA1OjE3NDUzMzM1OTI6c3BfYXRmX25leHQ6MzAwMzYyMjMyMzAyNjMyOjowOjo&url=%2FSwiss-Arabian-Jamila-Women-Perfume%2Fdp%2FB076CR2S5C%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.0NiDwGdUzXuEFncrILiS7iAq8Mn3iHbUAyiIg_G1ktY0klZB08WLTj_IrLIjAJpdXUZevy1gaymRhhskC3urj1co8i4IJwHz3WI_b9lHElW6LFL-wxz644VCnPnEcpnTJiNWqkI-d5-V8qnrtXSf81g7mYEpAlphIfZ43VYqfriTqrH1XiDzafgDhayKsEn5UNzmSJ-I2t2tSnZXqwW7HBvtyWLVDPAXiiFSJ5YtAjzGo4NdKBcEY_kOkIkNwc-gdzugs9y6zSu-qlbzJFGXmw2gNYH5CyKPC4NquLm9LtI.GSMEfsyEgJfWbxAf5reRZDbBMhLRbqZ8GR_DQXpReng%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333592%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-145-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,119.0,4.4,150.0,0.7933333333333333,0.5840760855055833,1.0386940811308782,0,2,1,1,0
"Hair Perfume & Body Fragrance Spray Mist - Dream Moon with Vanilla, Almond & Spices – Alcohol-Free, Vegan & Cruelty-Free, 6.5 oz",SAR 118.84,4.0 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MToyMTE5OTU2MTA3NDI0NjkwOjE3NDUzMzM1OTU6c3BfYXRmX25leHQ6MzAwNTMxNzk3NjcwNjMyOjowOjo&url=%2FCasanova-FRAGRANT-BODY-SPLASH-EXUBURANCE%2Fdp%2FB07XLTBDMT%2Fref%3Dsr_1_241_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.tHWFSdJ-wPOALfwxJqQ9PvIiQLE2q5H8JbbckSMPUZI0tTpjDrR66INE5RZChmSTqOON2hGA7nAd5wIe5NRSiWB1FeOeTpI5b_ZxUX7ZFcpT50TI8z_kOsaDATaXAX1G3GYfo44yUUm2E_vpSs5A7AGQQwfqtDsJbYI7dvI_UUc6dSM3ViXl0-Tgb6aeeqKuQP3XBqixRKHdr6t7m8JhctbgDtFpdE_gqBbT0Kd4WmaKQ-W-vAS3YAh9w8KnHEM4xl__ONlzKVSmliY_MlFDTmGx7clFmIDtEt0hAA5E818.JZ64ASNd5V7nxONPOfyQzzQJdgIVasBDqZROgaHHO3A%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333595%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-241-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAEP93J8TTQ32V,118.84,4.0,192.22775,0.6182249961308917,0.48132986714592035,0.6393094753057008,0,2,1,1,0
"Island Splash Feminine Spray (2oz, 3 Unit)",SAR 94.58,4.7 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDYzNzQzMDE1NzQ3MzA1OjE3NDUzMzM1OTI6c3BfYXRmX25leHQ6MzAwMzYyMjMyMzAyNjMyOjowOjo&url=%2FSwiss-Arabian-Jamila-Women-Perfume%2Fdp%2FB076CR2S5C%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.0NiDwGdUzXuEFncrILiS7iAq8Mn3iHbUAyiIg_G1ktY0klZB08WLTj_IrLIjAJpdXUZevy1gaymRhhskC3urj1co8i4IJwHz3WI_b9lHElW6LFL-wxz644VCnPnEcpnTJiNWqkI-d5-V8qnrtXSf81g7mYEpAlphIfZ43VYqfriTqrH1XiDzafgDhayKsEn5UNzmSJ-I2t2tSnZXqwW7HBvtyWLVDPAXiiFSJ5YtAjzGo4NdKBcEY_kOkIkNwc-gdzugs9y6zSu-qlbzJFGXmw2gNYH5CyKPC4NquLm9LtI.GSMEfsyEgJfWbxAf5reRZDbBMhLRbqZ8GR_DQXpReng%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333592%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-145-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,94.58,4.7,59.147,1.5990667320405092,0.9551524313745576,2.4811041521969113,1,1,1,4,0
LADY POWDER BODY SPLASH 250ML,SAR 196.00,5.0 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTozNDgxMjE4OTYxNDEyMDQ1OjE3NDUzMzM1OTY6c3BfYXRmX25leHQ6MzAwNTMxNzk3NjcwNjMyOjowOjo&url=%2FCasanova-FRAGRANT-BODY-SPLASH-EXUBURANCE%2Fdp%2FB07XLTBDMT%2Fref%3Dsr_1_289_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.bC_uMzhR2GJVNIbf7UWiIwXzO-ElW6yo1ufwrypUxjGi76PZZSHCIEoGhWAndA2kc-w6nf1S4T2KvQkZYJwJ7qa8cVXlO92o5k3HnSoOsixw4sitvQXFVD5imNKZzttwWZRShcVYyVUfAGlnAB78l0x6fTWxLPL7wQsjHdULAJBLzu7-7zYUH6CUcm1GAOqW-M8Yp9qp6sUk_H_gg8kIi8I51YeW7xDtK-Wys4NjujAnrSEVnPeBBVj2k6qIlFwSkpdi9lFYsyRkKuwn36qVXA.Un4A_LRldKk_GOZyxgystsS7Zj-Ox4PX_nkpCvH4lhM%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333596%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-289-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAEP93J8TTQ32V,196.0,5.0,250.0,0.784,0.5788580341578177,1.0184110048875479,0,2,1,1,0
"Lavender and Vanilla Body Mist for Women, 250 ml / 8.4 oz",SAR 149.00,4.5 out of 5 stars,https://www.amazon.sa/-/en/sspa/click?ie=UTF8&spc=MTo4NDYzNzQzMDE1NzQ3MzA1OjE3NDUzMzM1OTI6c3BfYXRmX25leHQ6MzAwMzYyMjMyMzAyNjMyOjowOjo&url=%2FSwiss-Arabian-Jamila-Women-Perfume%2Fdp%2FB076CR2S5C%2Fref%3Dsr_1_145_sspa%3Fcrid%3D3266ORQFEHWZS%26dib%3DeyJ2IjoiMSJ9.0NiDwGdUzXuEFncrILiS7iAq8Mn3iHbUAyiIg_G1ktY0klZB08WLTj_IrLIjAJpdXUZevy1gaymRhhskC3urj1co8i4IJwHz3WI_b9lHElW6LFL-wxz644VCnPnEcpnTJiNWqkI-d5-V8qnrtXSf81g7mYEpAlphIfZ43VYqfriTqrH1XiDzafgDhayKsEn5UNzmSJ-I2t2tSnZXqwW7HBvtyWLVDPAXiiFSJ5YtAjzGo4NdKBcEY_kOkIkNwc-gdzugs9y6zSu-qlbzJFGXmw2gNYH5CyKPC4NquLm9LtI.GSMEfsyEgJfWbxAf5reRZDbBMhLRbqZ8GR_DQXpReng%26dib_tag%3Dse%26keywords%3Dbody%2Bsplash%26qid%3D1745333592%26sprefix%3Dbody%2Bsplash%252Caps%252C181%26sr%3D8-145-spons%26xpid%3Dm_cVJ5ctMhXsS%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,149.0,4.5,250.0,0.596,0.46750049902761703,0.5855533680453268,0,2,1,1,0
