name,price,page,url,price_numeric,volume,price_log,price_scaled
3ce Blur Water Tint Bake Beige,95.50,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,95.5,,4.56954300834494,0.25006293829714116
ANATASIA 3-Piece Tint Lips,11.10,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,11.1,,2.4932054526026954,-1.6963420782080465
Amuse Jel-Fit Tint 03 Nupink 3.8g,62.95,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,62.95,,4.158101528024852,-0.13563145858865863
Amuse Jel-Fit Tint 08 Gorgeous Mauve 3.8g,62.95,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,62.95,,4.158101528024852,-0.13563145858865863
Amuse Jel-Fit Tint 3.8g,81.20,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,81.2,,4.409155302062135,0.09971193432321541
Annika Maya Mineral Sheer Tint (Light),324,6,https://www.noon.com/saudi-en/search/?q=tint&page=6,324.0,,5.783825182329737,1.388358062016531
Artix Oil Paint Set - Flesh Tint,51.05,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,51.05,,3.952204795060978,-0.32864363660113527
Baby Bright Baby Bright Sweet Cafe Shiny Tint 01,29,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,29.0,,3.4011973816621555,-0.8451702440426824
Baby Bright Baby Bright Sweet Cafe Shiny Tint 01,29,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,29.0,,3.4011973816621555,-0.8451702440426824
Baby Bright Lip Cheek Matte TINT 11,45,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,45.0,,3.828641396489095,-0.4444747153058538
CLIO Clio Crystal Glam Tint- 06 Daily Mauve,55,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,55.0,,4.02535169073515,-0.2600741093158216
"CLIO PROFESSIONAL CLIO Crystal Glam Tint |Glossy Finish, Lightweight, Weightless, Buildable, Glass-Like, Smoothing, Long-Lasting, Vivid, Transparent, Shiny, Moisturizing, Hydrating (001 Vintage Apple)",251.20,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,251.2,,5.5302224235308195,1.150625194082486
CLIO PROFESSIONAL Clio Crystal Glam Tint (011 Mellow Fig),229,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,229.0,,5.438079308923196,1.0642481885649133
CLIO PROFESSIONAL Clio Crystal Glam Tint Glossy Finish Lightweight Weightless Buildable Glasslike Smoothing Longlasting Vivid Transparent Shiny Moisturizing Hydrating (001 Vintage Apple),230,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,230.0,,5.442417710521793,1.0683151027387534
"CLIO PROFESSIONAL Clio Crystal Glam Tint |Glossy Finish, Lightweight, Weightless, Buildable, Glass-Like, Smoothing, Long-Lasting, Vivid, Transparent, Shiny, Moisturizing, Hydrating (001 Vintage Apple)",230,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,230.0,,5.442417710521793,1.0683151027387534
"CLIO PROFESSIONAL Clio Crystal Glam Tint |Glossy Finish, Lightweight, Weightless, Buildable, Glass-Like, Smoothing, Long-Lasting, Vivid, Transparent, Shiny, Moisturizing, Hydrating (06 Daily Mauve)",230,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,230.0,,5.442417710521793,1.0683151027387534
CLIO PROFESSIONAL Crystal Glam Tint 001 Vintage Apple,252.80,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,252.8,,5.536546555280287,1.1565535758757841
CLIO PROFESSIONAL Crystal Glam Tint 006 Daily Mauve,252.80,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,252.8,,5.536546555280287,1.1565535758757841
"COLORGRAM Fruity Glass Tint Mini Set 03 Cool Best Set, Portable & Cute Mini Size, Moisturizing, Long Lasting",276,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,276.0,,5.6240175061873385,1.2385507912000053
COLORGRAM Nude Blur Tint 05 Vintage Red | Lightweight Lip Blur Tint For Full Coverage & Smooth Finish,244,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,244.0,,5.501258210544727,1.1234734964698592
COLORKEY Soft Matte Water Tint | Matte Finishs | Longlasting | Moist Fit Without Stickiness | Moisturized | Waterproof (P307 Aquatic Flowers),201,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,201.0,,5.308267697401205,0.9425598960383629
Earth Rhythm Tinted Lippies With Spf 30 Rose Bud Lip & Cheek Tint Blush For Women Enriched With Shea Butter & Almond Oil Chemical & Paraben Free 10 Gm,89,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,89.0,,4.499809670330265,0.18469335590238672
Essence What A Tint Kiss From A Rose,18,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,18.0,,2.9444389791664403,-1.2733457319299324
Generic Headlight Taillight Tint Vinyl Film Protector Sticker,58.40,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,58.4,,4.084294226368599,-0.20482006513345832
Generic Headlight Taillight Tint Vinyl Film Protector Sticker,98.65,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,98.65,,4.6016640466588035,0.28017391420110926
Generic Headlight Taillight Tint Vinyl Film Protector Sticker,99,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,99.0,,4.605170185988092,0.2834606472085722
Generic Headlight Taillight Tint Vinyl Film Protector Sticker 30 x 100 Centimeter,99,8,https://www.noon.com/saudi-en/search/?q=tint&page=8,99.0,,4.605170185988092,0.2834606472085722
Generic Headlight Taillight Tint Vinyl Film Protector Sticker 30 x 120 Centimeter,99,4,https://www.noon.com/saudi-en/search/?q=tint&page=4,99.0,,4.605170185988092,0.2834606472085722
"Generic Jelly Lip & Cheek Tint, Cooling Water Jelly Tint, Long Lasting Buildable Multi-Use Jelly Tint Blush Stick, Natural Lip and Cheek Stain Stick 03",13.50,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,13.5,,2.6741486494265287,-1.5267219001082024
"Insight Cosmetics Lip & Cheek Tint|Enriched With Vitamin E | Multipurpose|Lightweight Formula|100% Paraben Free| Long Lasting, B07-01",75,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,75.0,,4.330733340286331,0.02619744272118094
Just Herbs Lip And Cheek Tint -01 Brick Red,47.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,47.5,,3.8815637979434374,-0.3948640788313764
KIKO MILANO Golden Oasis Lips And Cheeck Tint  01,103.95,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,103.95,,4.653484046266642,0.32875113465982087
KIKO MILANO Golden Oasis Lips And Cheeck Tint  02,103.95,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,103.95,,4.653484046266642,0.32875113465982087
KIKO MILANO Golden Oasis Lips And Cheeck Tint  03,103.95,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,103.95,,4.653484046266642,0.32875113465982087
Lotus Organics+ Beet Red Lip & Cheek Tint |Natural Organic & Youthful Glow|All Skin Types|10Gm,104,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,104.0,,4.653960350157523,0.3291976325233442
MAKE OVER 22 TINT My Lip Cheek and Lips Tint Pink,24.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.8,,3.250374491927572,-0.9865549761982688
MAKE OVER 22 TINT My Lip Cheek and Lips Tint Red,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675
MAKE OVER 22 TINT My Lip Cheek and Lips Tint Set - 4 Tints,96.60,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,96.6,,4.580877493419047,0.26068813676100955
MAKE OVER 22 TINT My Lip Cheek and Lips Tint-CORAL,24.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.8,,3.250374491927572,-0.9865549761982688
MAKE OVER 22 Water Tint My Lip #1 Cheery,24.90,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.9,,3.254242968705492,-0.9829285800056297
MAKE OVER 22 Water Tint My Lip #2 Strawberry,24.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,24.8,,3.250374491927572,-0.9865549761982688
MAYBELLINE NEW YORK Super Stay Teddy Tint Plushwear And Transferproof 15 Skinnydip,53.80,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,53.8,,4.00369019395397,-0.28038007829629746
"MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",40.60,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,40.6,5.027495,3.728100167267218,-0.5387243002935431
"MILK MAKEUP Cooling Water Jelly Tint Lip + Cheek Blush Stain, Blush Stick for Cheeks, Jelly Blush Stick, Longlasting Non-Stick, Paraben-Free, 0.17 oz (Chill)",69,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,69.0,5.027495,4.248495242049359,-0.05089438009616783
Makeup Revolution Pout Tint Sweet Pink,49,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,49.0,,3.912023005428146,-0.36631094011698484
Makeup Revolution Pout Tint Sweetie Coral,42,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,42.0,,3.7612001156935624,-0.5076956722725713
NIBEMINENT Film Handle Squeegee Tint Tool,64.90,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,64.9,,4.188138441508461,-0.10747418766556423
NIBEMINENT Headlight Taillight Tint Vinyl Film Protector Sticker,64.90,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,64.9,,4.188138441508461,-0.10747418766556423
NWK 100 Pieces Tint 3 Colors,"1,000",5,https://www.noon.com/saudi-en/search/?q=tint&page=5,1000.0,,6.90875477931522,2.4428920922527566
NWK 120 Pieces Tint 3 Colors,"1,170",6,https://www.noon.com/saudi-en/search/?q=tint&page=6,1170.0,,7.065613363597717,2.5899348187521154
NWK 140 Pieces Tint 3 Colors,"1,365",5,https://www.noon.com/saudi-en/search/?q=tint&page=5,1365.0,,7.2196420401307355,2.7343247267708763
NWK 20 Pieces Tint 3 Colors,228,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,228.0,,5.43372200355424,1.0601635535761922
NWK 40 Pieces Tint 3 Colors,430,5,https://www.noon.com/saudi-en/search/?q=tint&page=5,430.0,,6.066108090103747,1.652976339639792
NWK 60 Pieces Tint 3 Colors,630,5,https://www.noon.com/saudi-en/search/?q=tint&page=5,630.0,,6.447305862541213,2.01031961193236
NWK 80 Pieces Tint 3 Colors,800,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,800.0,,6.68586094706836,2.2339464552422723
Oh! My Tint Oh My Tint Orange Fruit Lip Tint - Orange,20,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,20.0,,3.044522437723423,-1.1795252713474225
Oh! My Tint Oh My Tint Pink Flower Lip Tint - Pink,24,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,24.0,,3.2188758248682006,-1.0160825274425416
Oh! My Tint Tint Lips Pink Flower,25,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,25.0,,3.258096538021482,-0.979316158399446
Peach C Peach C River Glow Tint 04 Breeze Fig,39,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,39.0,,3.6888794541139363,-0.5754906693366386
Peach C River Glow Tint 01 Hey Cherry,139,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,139.0,,4.941642422609304,0.598877207229388
Peripera Ink Mood Glowy Tint -26 Why So Berry,50,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,50.0,,3.9318256327243257,-0.34774751674554355
"Peripera Ink Mood Glowy Tint | Lip-Plumping, Naturally Moisturizing, Lightweight, Glow-Boosting, Long-Lasting, Comfortable, Non-Sticky, Mask Friendly, No White Film (02 CORAL INFLUENCER)",63.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,63.5,,4.1666652238017265,-0.1276036596530588
"Peripera Ink The Velvet Lip Tint | High Pigment Color, Longwear, Weightless, Not Animal Tested, Gluten-Free, Paraben-Free (027 Strawberry Nude)",166,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,166.0,,5.117993812416755,0.7641929232793155
Peripera Over Blur Tint 001 Warm-Bassador,37,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,37.0,,3.6375861597263857,-0.6235741446043757
Peripera Over Blur Tint 003 Pink Check,39.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,39.5,,3.7013019741124933,-0.563845522729355
Peripera Over Blur Tint 005 Vintage Acorn,42,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,42.0,,3.7612001156935624,-0.5076956722725713
Peripera Over Blur Tint 006 Mauve-Treaming,42,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,42.0,,3.7612001156935624,-0.5076956722725713
Peripera Water Bare Tint 002 Universal Coral,42,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,42.0,,3.7612001156935624,-0.5076956722725713
Phoenix Acrylic color (Flesh Tint 201) size 500 ml,41.50,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,41.5,500.0,3.7495040759303713,-0.5186598001454022
Phoenix oil color Flesh Tint 201) 200 ml,59.75,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,59.75,200.0,4.1067670822206574,-0.1837535101098425
ProBeautyCo Mineral Sheer Tint Medium,335,5,https://www.noon.com/saudi-en/search/?q=tint&page=5,335.0,,5.817111159963204,1.4195610779548038
REVOLUTION Pout Tint Sizzlin Red,44,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,44.0,,3.8066624897703196,-0.4650782314231699
REVOLUTION Pout Tint Sweetie Coral,44,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,44.0,,3.8066624897703196,-0.4650782314231699
REVOLUTION Revolution Relove Baby Tint Coral Lip & Cheek Tint,16,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,16.0,,2.833213344056216,-1.3776111166906126
REVOLUTION Revolution Relove Baby Tint Fuchsia Lip & Cheek Tint,17,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,17.0,,2.8903717578961645,-1.3240295479683803
ROSE BERRY 3-Piece Lip Tint Waterproof  Stain Multicolour,14,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,14.0,,2.70805020110221,-1.494941831368239
Revlon Ki** Cushion Lip Tint 260 Crimson Feels,16,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,16.0,,2.833213344056216,-1.3776111166906126
SHEGLAM Take A Hint Lip Tint Level Up,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675
SHEGLAM Take A Hint Lip Tint Memories,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675
SHEGLAM Take A Hint Lip Tint-Primp Primp,26,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,26.0,,3.295836866004329,-0.9439375353488675
"SUNBIRD Mirror Effect Tint Glass Covering For Home Office, Daytime Privacy Protecting Reflective Heat Control Anti Uv Door Sticker For House 17.7 Inch X 6.5 Feet",127,9,https://www.noon.com/saudi-en/search/?q=tint&page=9,127.0,,4.852030263919617,0.5148727760948204
"Swiss Beauty Swiss Beauty Dip Tint Colour Changing PH Lip Oil | With Vitamin E for Long-Lasting Nourishment and Hydration| Soft and Natural Pink Lips | Shade- Strawberry, 3ml",37.50,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,37.5,3.0,3.6506582412937387,-0.611320084531872
TIRTIR Waterism Glow Tint 01 Mauve Rose 4Gram,58.50,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,58.5,,4.085976312551584,-0.20324324012458564
Tint Crown Orange Skin Tag Remover 120ml,35,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,35.0,120.0,3.58351893845611,-0.6742579606428237
Tint Hair Tint Instant Hair Concealer For Greys Thinning Hair Or Patchy Beards. Temporary Hair Shadow For All Hair Types. Sweat And Weather Resistant. Hairline Powder (Dark Brown),297,4,https://www.noon.com/saudi-en/search/?q=tint&page=4,297.0,,5.697093486505405,1.3070538408528698
Tint Hair Tint Instant Hair Concealer For Greys Thinning Hair Or Patchy Beards. Temporary Hair Shadow For Women Hair Types. Sweat And Weather Resistant. Hairline Powder (Black),297,4,https://www.noon.com/saudi-en/search/?q=tint&page=4,297.0,,5.697093486505405,1.3070538408528698
"Tint TINT Root Cover Up Hair Powder for Women & Men, Black, Gray Hair Concealer, Root Touch Up Powder",144.50,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,144.5,,4.980176086611547,0.6349995211136931
Tinte Cosmetics Lips And Cheeks Tint Orange,20,3,https://www.noon.com/saudi-en/search/?q=tint&page=3,20.0,,3.044522437723423,-1.1795252713474225
Tinte Cosmetics Tint Lips And Cheeks Dark Pink,18,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,18.0,,2.9444389791664403,-1.2733457319299324
Unleashia Non Sticky Dazzle Tint 04 Humming,153,7,https://www.noon.com/saudi-en/search/?q=tint&page=7,153.0,,5.0369526024136295,0.6882230901192413
"Urbaano herbal Kumkumadi Lip Oil Serum-Roll On, Tint Free,Transparent- Hydrates, Softens, Restores Natural Colour To Dark, Dry, Pigmented And Chapped Lips For Men, Women & Teenagers - 10Ml",46.40,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,46.4,10.0,3.858622228701031,-0.416370016214452
Voloria I'm Tattoo Velvet Tint 5grams,13.70,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,13.7,,2.6878474937846906,-1.5138802986521624
Voloria I'm Tattoo Velvet Tint 5grams,17,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,17.0,,2.8903717578961645,-1.3240295479683803
Voloria I'm Tattoo Velvet Tint 5grams,18.45,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,18.45,,2.9678470700644555,-1.2514024667683006
YADAH Be My Tint Long Lasting Color Lip Tint Set,66,1,https://www.noon.com/saudi-en/search/?q=tint&page=1,66.0,,4.204692619390966,-0.09195593304192834
rom&nd Dewy·Ful Water Tint (13 Custard Mauve),223,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,223.0,,5.4116460518550396,1.039469065335291
rom&nd Glasting Water Tint Glossy Lipsticks 4 Shades (02 Red Drop),193,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,193.0,,5.267858159063328,0.9046790958197368
rom&nd Juicy Lasting Matte Tint (13Eat Dotori),193,10,https://www.noon.com/saudi-en/search/?q=tint&page=10,193.0,,5.267858159063328,0.9046790958197368
"the SAEM The Saem Saemmul Water Candy Tint 02 Apple, Hydrating & Long-lasting Water-Based Tint, Korean Cosmetics, 10g",69,2,https://www.noon.com/saudi-en/search/?q=tint&page=2,69.0,,4.248495242049359,-0.05089438009616783
